Frequency	Gain
2900.00000	-37.70338
2901.00000	-37.61902
2902.00000	-37.77387
2903.00000	-37.79925
2904.00000	-37.82478
2905.00000	-37.83581
2906.00000	-37.84899
2907.00000	-37.85769
2908.00000	-37.87101
2909.00000	-37.86690
2910.00000	-37.87504
2911.00000	-37.87234
2912.00000	-37.86832
2913.00000	-37.86504
2914.00000	-37.86030
2915.00000	-37.84629
2916.00000	-37.82555
2917.00000	-37.79940
2918.00000	-37.78175
2919.00000	-37.75951
2920.00000	-37.73503
2921.00000	-37.70237
2922.00000	-37.66082
2923.00000	-37.62423
2924.00000	-37.58540
2925.00000	-37.53785
2926.00000	-37.50966
2927.00000	-37.46281
2928.00000	-37.40161
2929.00000	-37.34955
2930.00000	-37.28907
2931.00000	-37.23375
2932.00000	-37.16185
2933.00000	-37.08815
2934.00000	-37.00953
2935.00000	-36.93567
2936.00000	-36.85559
2937.00000	-36.76932
2938.00000	-36.66591
2939.00000	-36.57793
2940.00000	-36.47671
2941.00000	-36.37560
2942.00000	-36.26493
2943.00000	-36.15583
2944.00000	-36.03271
2945.00000	-35.90250
2946.00000	-35.77349
2947.00000	-35.64244
2948.00000	-35.49688
2949.00000	-35.34783
2950.00000	-35.19521
2951.00000	-35.03437
2952.00000	-34.86675
2953.00000	-34.69336
2954.00000	-34.50751
2955.00000	-34.39355
2956.00000	-34.19773
2957.00000	-34.01007
2958.00000	-33.80534
2959.00000	-33.59208
2960.00000	-33.37763
2961.00000	-33.15881
2962.00000	-32.91547
2963.00000	-32.66409
2964.00000	-32.40725
2965.00000	-32.13479
2966.00000	-31.86032
2967.00000	-31.56244
2968.00000	-31.25799
2969.00000	-30.93439
2970.00000	-30.59497
2971.00000	-30.24431
2972.00000	-29.87801
2973.00000	-29.48651
2974.00000	-29.07503
2975.00000	-28.64193
2976.00000	-28.18302
2977.00000	-27.69297
2978.00000	-27.16537
2979.00000	-26.61120
2980.00000	-26.02447
2981.00000	-25.39380
2982.00000	-24.72038
2983.00000	-24.00837
2984.00000	-23.52048
2985.00000	-22.76489
2986.00000	-21.98091
2988.00000	-21.16490
2989.00000	-19.56535
2990.00000	-18.87876
2991.00000	-18.37747
2992.00000	-18.13793
2993.00000	-18.20447
2994.00000	-18.56283
2995.00000	-19.15075
2996.00000	-19.88533
2997.00000	-20.69376
2998.00000	-21.52182
2999.00000	-22.33604
3000.00000	-23.12045
3001.00000	-23.86634
3002.00000	-24.57676
3003.00000	-25.24494
3004.00000	-25.87668
3005.00000	-26.47212
3006.00000	-27.03527
3007.00000	-27.57211
3008.00000	-28.07746
3009.00000	-28.55822
3010.00000	-29.01191
3011.00000	-29.45127
3012.00000	-29.86245
3013.00000	-30.26642
3014.00000	-30.50621
3015.00000	-30.85414
3016.00000	-31.19036
3017.00000	-31.50529
3018.00000	-31.81557
3019.00000	-32.10230
3020.00000	-32.38428
3021.00000	-32.65338
3022.00000	-32.91483
3023.00000	-33.16338
3024.00000	-33.39310
3025.00000	-33.62432
3026.00000	-33.84874
3027.00000	-34.06179
3028.00000	-34.26566
3029.00000	-34.46412
3030.00000	-34.65738
3031.00000	-34.84016
3032.00000	-35.02199
3033.00000	-35.18415
3034.00000	-35.35683
3035.00000	-35.51453
3036.00000	-35.66286
3037.00000	-35.82195
3038.00000	-35.96707
3039.00000	-36.09568
3040.00000	-36.22869
3041.00000	-36.36305
3042.00000	-36.48085
3043.00000	-36.55571
3044.00000	-36.67646
3045.00000	-36.78197
3046.00000	-36.88595
3047.00000	-36.99335
3048.00000	-37.07483
3049.00000	-37.16822
3050.00000	-37.26067
3051.00000	-37.33494
3052.00000	-37.41554
3053.00000	-37.49919
3054.00000	-37.57867
3055.00000	-37.63455
3056.00000	-37.69278
3057.00000	-37.75796
3058.00000	-37.82405
3059.00000	-37.87578
3060.00000	-37.92458
3061.00000	-37.96844
3062.00000	-38.01212
3063.00000	-38.06040
3064.00000	-38.09456
3065.00000	-38.14470
3066.00000	-38.17476
3067.00000	-38.19251
3068.00000	-38.22557
3069.00000	-38.25037
3070.00000	-38.26333
3071.00000	-38.25860
3072.00000	-38.29777
3073.00000	-38.29750
3074.00000	-38.30544
3075.00000	-38.31027
